Name,Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,User_Count
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,5.82,89.0,9.2,364.0
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,5.78,87.0,8.8,197.0
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,5.74,89.0,8.9,102.0
Destiny,PS4,2014.0,Shooter,Activision,5.64,76.0,6.1,5380.0
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,5.64,80.0,8.9,62.0
Cooking Mama,DS,2006.0,Simulation,505 Games,5.63,67.0,7.2,21.0
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,5.55,91.0,8.6,1202.0
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,5.54,81.0,7.7,1074.0
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,5.49,92.0,8.0,516.0
Super Mario Advance,GBA,2001.0,Platform,Nintendo,5.49,84.0,7.8,41.0
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,5.48,81.0,8.7,124.0
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,5.48,96.0,8.6,2162.0
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,5.48,97.0,7.9,764.0
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,5.47,93.0,8.3,108.0
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,5.42,66.0,7.1,156.0
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,5.39,85.0,7.6,409.0
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,5.38,93.0,7.9,7064.0
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,5.33,83.0,7.3,2483.0
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,5.3,94.0,8.9,779.0
Assassin's Creed III,X360,2012.0,Action,Ubisoft,5.29,84.0,6.7,1196.0
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,5.29,85.0,6.6,400.0
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,5.27,81.0,5.4,898.0
Assassin's Creed II,X360,2009.0,Action,Ubisoft,5.26,90.0,8.8,1305.0
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,5.22,84.0,8.1,733.0
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,5.21,89.0,8.8,245.0
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,5.19,85.0,8.6,147.0
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,5.16,90.0,6.1,403.0
Diablo III,PC,2012.0,Role-Playing,Activision,5.14,88.0,4.0,9629.0
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,5.13,68.0,7.6,100.0
Guitar Hero II,PS2,2006.0,Misc,RedOctane,5.12,92.0,8.5,112.0
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,5.1,80.0,6.5,604.0
Resident Evil 5,PS3,2009.0,Action,Capcom,5.09,84.0,7.5,667.0
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,5.08,90.0,8.0,416.0
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,5.07,89.0,8.0,233.0
Resident Evil,PS,1996.0,Action,Virgin Interactive,5.05,91.0,9.0,266.0
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,5.03,86.0,8.0,150.0
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,5.02,92.0,9.2,69.0
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,4.98,82.0,8.2,46.0
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,4.98,68.0,7.1,47.0
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,4.93,93.0,8.5,1655.0
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,4.92,88.0,8.1,2306.0
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,4.91,88.0,8.0,121.0
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,4.84,93.0,8.2,3052.0
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,4.82,81.0,7.3,769.0
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,4.8,92.0,8.7,2633.0
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,4.79,88.0,9.0,233.0
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,4.76,80.0,5.4,46.0
Driver 2,PS,2000.0,Action,Atari,4.73,62.0,7.7,92.0
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,4.73,94.0,8.7,1472.0
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,4.68,98.0,7.7,299.0
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,4.67,82.0,8.2,78.0
Tomb Raider,PS,1996.0,Action,Eidos Interactive,4.63,91.0,8.6,147.0
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,4.62,73.0,7.6,119.0
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,4.62,86.0,8.1,1264.0
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,4.6,96.0,8.9,968.0
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,4.6,86.0,8.4,87.0
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,4.59,86.0,8.4,458.0
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,4.57,91.0,8.2,617.0
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.53,91.0,7.9,78.0
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,4.53,85.0,7.9,165.0
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,4.49,84.0,8.2,39.0
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,4.48,84.0,6.4,2438.0
Spider-Man: The Movie,PS2,2002.0,Action,Activision,4.48,76.0,7.9,41.0
Call of Duty: Infinite Warfare,PS4,2016.0,Shooter,Activision,4.46,77.0,3.4,1129.0
God of War,PS2,2005.0,Action,Sony Computer Entertainment,4.45,94.0,8.9,997.0
Splatoon,WiiU,2015.0,Shooter,Nintendo,4.43,81.0,8.5,1184.0
Nintendo Land,WiiU,2012.0,Misc,Nintendo,4.42,77.0,7.9,471.0
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,4.41,97.0,7.5,298.0
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,4.39,86.0,8.9,33.0
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,4.38,94.0,8.7,1109.0
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,4.37,82.0,9.1,137.0
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,4.36,56.0,8.3,31.0
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,4.34,86.0,8.1,715.0
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,4.33,87.0,9.0,766.0
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,4.32,93.0,9.0,1607.0
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,4.27,89.0,6.5,2423.0
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,4.24,79.0,7.3,6.0
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,4.23,91.0,8.9,1122.0
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,4.23,91.0,9.3,955.0
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,4.22,80.0,7.5,613.0
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,4.22,88.0,6.2,1749.0
FIFA 14,X360,2013.0,Sports,Electronic Arts,4.22,84.0,4.2,435.0
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,4.21,85.0,8.7,109.0
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,4.21,80.0,7.8,47.0
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,4.2,80.0,7.5,22.0
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,4.19,80.0,7.1,120.0
